input,target
कंधों में खुज़ली है झो हाठों तक फैल लहा है,कंधों में खुजली है जो हाथों तक फैल रहा है
मसूड़ों मेंऐंठन और नींद नहीं आना है,मसूड़ों में ऐंठन और नींद नहीं आना है
मुझे पसीना आना और थखान है और पिछले हफ्ते से गर्दन में जलन है और बुखार भी हो रहा है,मुझे पसीना आना और थकान है और पिछले हफ्ते से गर्दन में जलन है और बुखार भी हो रहा है
पीठ में बेंठन और दस्त है,पीठ में ऐंठन और दस्त है
दोपहर से से नाक में तेज दर्द है,दोपहर से से नाक में तेज दर्द है
कान में तेज दर्द हो रहाहै,कान में तेज दर्द हो रहा है
सिर में जलन और खाँसी है,सिर में जलन और खांसी है
नाख मैं सूज़न और खा ंसी है,नाक में सूजन और खांसी है
जब चलता करता हूं तो अंखों में खुजली होता है,जब चलता करता हूं तो आंखों में खुजली होता है
कभी-कभी मसूड़ों में खुजली होता है,कभी-कभी मसूड़ों में खुजली होता है
जीभ में तेज दर्द और खांसी है,जीभ में तेज दर्द और खांसी है
छाती में जलन है जो पीठ तक फैल ड़हा है,छाती में जलन है जो पीठ तक फैल रहा है
पिछले हफ्ते से उंगली में ऐंठन है और नींद नहीं आना बी हो रहा है,पिछले हफ्ते से उंगली में ऐंठन है और नींद नहीं आना भी हो रहा है
पैरों मेंभारीपन है जो उंगलियों तक फैल ड़हा है,पैरों में भारीपन है जो उंगलियों तक फैल रहा है
कल से क़ंधों में खु जली शुरूहो गया,कल से कंधों में खुजली शुरू हो गया
जब खड़ा होता करता हूं तो उंगली में सूजन होत है,जब खड़ा होता करता हूं तो उंगली में सूजन होता है
ज़ब खाता करता हूं तो टखना में कड़ापन होता है,जब खाता करता हूं तो टखना में कड़ापन होता है
जब सोता करता हूं तो सिर में कड़ापन होता है और हाथों में बहुत तेज दर्द है,जब सोता करता हूं तो सिर में कड़ापन होता है और हाथों में बहुत तेज दर्द है
पिछले हफ्ते से कलाई में तेज दर्दहै और बुखार भी हो रहा है,पिछले हफ्ते से कलाई में तेज दर्द है और बुखार भी हो रहा है
पिछले हफ्ते से कंधा में दर्द है और बेचैनी भी हो रहा है,पिछले हफ्ते से कंधा में दर्द है और बेचैनी भी हो रहा है
गले में सुन्नबन और बेचैनी है,गले में सुन्नपन और बेचैनी है
कान मेंभारीपन है जोकंधों तक फैल रहा है,कान में भारीपन है जो कंधों तक फैल रहा है
गला में सुन्नपन है जो कलाई तक फैल रहा है,गला में सुन्नपन है जो कलाई तक फैल रहा है
उंगलियों में तेज दर्द है जो हाथ तक फैल रहा है,उंगलियों में तेज दर्द है जो हाथ तक फैल रहा है
उंगलियों में बेंठन है जो कंधा तक फैल रहा है,उंगलियों में ऐंठन है जो कंधा तक फैल रहा है
मेरे कलाई में बहुत दर्द है और पिछले हफ्ते से कलाइ में तेज दर्द है और सर्दी भी हो रहा है,मेरे कलाई में बहुत दर्द है और पिछले हफ्ते से कलाई में तेज दर्द है और सर्दी भी हो रहा है
पिछले हफ्ते से हाथों में सूझन है और बुखार भी हो रहा है,पिछले हफ्ते से हाथों में सूजन है और बुखार भी हो रहा है
जब बैठता करता हूं तो उंगली नें भारीपन होता है,जब बैठता करता हूं तो उंगली में भारीपन होता है
घुटनों में खूजली है जो कमर तक फैल रहा है,घुटनों में खुजली है जो कमर तक फैल रहा है
कंधा में कड़ापन है जो सिल तक फैल रहा है,कंधा में कड़ापन है जो सिर तक फैल रहा है
हाथ में ऐंठन है जो कान तक फैल रहा है और जब खड़ा होता करता हूं थो कलाई में कड़ापन होता है,हाथ में ऐंठन है जो कान तक फैल रहा है और जब खड़ा होता करता हूं तो कलाई में कड़ापन होता है
कभी-कभी सिर में कड़ापन होता है और कलाई में दर्द है जो गला तक फैल रहा है,कभी-कभी सिर में कड़ापन होता है और कलाई में दर्द है जो गला तक फैल रहा है
आंखों में भारीपनहै जो कंधों तक फैल रहा है,आंखों में भारीपन है जो कंधों तक फैल रहा है
जब काम करताकरता हूं तो गर्दन में सुन्नपन होता है,जब काम करता करता हूं तो गर्दन में सुन्नपन होता है
मसूड़ों में जालन और जुकाम है,मसूड़ों में जलन और जुकाम है
हाथों में तेज दर्द है जो गले तक बैल रहा है,हाथों में तेज दर्द है जो गले तक फैल रहा है
खाना खाने के भाद अखं में दर्द होता है,खाना खाने के बाद आंख में दर्द होता है
कंधा में तेज दर्द हो रहा है और पि छले हफ्ते से टखना में तेज डर्ड है और दस्त भी हो रहाहै,कंधा में तेज दर्द हो रहा है और पिछले हफ्ते से टखना में तेज दर्द है और दस्त भी हो रहा है
दा स्त के साथ वजन बढ़ना भीहै,दस्त के साथ वजन बढ़ना भी है
उंगलियों मेंझनझनाहट है जो घुटना तक फैल रहा है,उंगलियों में झनझनाहट है जो घुटना तक फैल रहा है
हाथ में तेज दरद और घबराहट है,हाथ में तेज दर्द और घबराहट है
पिछले हफ्ते से हाथ में जल्लन है और जुकाम भी हो रहा है,पिछले हफ्ते से हाथ में जलन है और जुकाम भी हो रहा है
जब सोता करता हूं तो गर्दन नें झनझनाहट होता है ओर कन में दर्द है जो कंधों तक फैल रहा है,जब सोता करता हूं तो गर्दन में झनझनाहट होता है और कान में दर्द है जो कंधों तक फैल रहा है
पैरों नें कड़ापन और थकान है,पैरों में कड़ापन और थकान है
खाना खाने के बाद आखों में जलन होता है औल कलाई में सूजन है जो जीभ तक फैल रहा है,खाना खाने के बाद आंखों में जलन होता है और कलाई में सूजन है जो जीभ तक फैल रहा है
जब सोता करता हूं तो उंगलियों में ऐंठन होता है और मेरे हाथ्ों में बहुत ऐंठन है,जब सोता करता हूं तो उंगलियों में ऐंठन होता है और मेरे हाथों में बहुत ऐंठन है
खाना खाने केबाद सर में तेज तर्द होता है,खाना खाने के बाद सिर में तेज दर्द होता है
मुझे अंख में तेज दर्द है,मुझे आंख में तेज दर्द है
कमर में सूजन और उलती है और पीठ में जलन और कमजोरी है,कमर में सूजन और उल्टी है और पीठ में जलन और कमजोरी है
घुटनों में सुजन और जुकाम है,घुटनों में सूजन और जुकाम है
उंगली में खुजली हो रहा है,उंगली में खुजली हो रहा है
पीठ में झनझनाहट हो रहा है,पीठ में झनझनाहट हो रहा है
पिछले हफ्ते से कलाई में तेज दर्द है और सर्दी मी हो रहा है,पिछले हफ्ते से कलाई में तेज दर्द है और सर्दी भी हो रहा है
दांत में सूजन और चक्कर है और दांत में खुजली और खांसी है,दांत में सूजन और चक्कर है और दांत में खुजली और खांसी है
मुझे गले मेंसूजन है,मुझे गले में सूजन है
घुटना में तेज दर्द और नींद नहीं आणा है,घुटना में तेज दर्द और नींद नहीं आना है
पिछले हफ्ते से गला में टेज दर्द है और पसीना आना भी हो रहा है,पिछले हफ्ते से गला में तेज दर्द है और पसीना आना भी हो रहा है
सुबह से पेट में अंठन है,सुबह से पेट में ऐंठन है
परसों से से मसूड़ों में सुजन है,परसों से से मसूड़ों में सूजन है
पेठ सूजा हुआ लग रहा है,पेट सूजा हुआ लग रहा है
पिछले हफ्ते से अंखों में जलन है और कमजोरी भी हो रहा है,पिछले हफ्ते से आंखों में जलन है और कमजोरी भी हो रहा है
कमर में तेज दर्द है जो गला तक फैल रहा है,कमर में तेज दर्द है जो गला तक फैल रहा है
दांत मै तेज दर्दे और नींद नहीं आना है,दांत में तेज दर्द और नींद नहीं आना है
पिछले हफ्ते से छाती में सुन्नपन है और पेचैनी भी हो रहा है,पिछले हफ्ते से छाती में सुन्नपन है और बेचैनी भी हो रहा है
हाथ में खुजलीऔर खांसी है,हाथ में खुजली और खांसी है
पिछले हफ्ते से हाथों में भारीपन है औड़ बेचैनी भी हो रहा है,पिछले हफ्ते से हाथों में भारीपन है और बेचैनी भी हो रहा है
पिछले हफ्तेसे कान में कड़ापन है और बुखार भी हो रहा है,पिछले हफ्ते से कान में कड़ापन है और बुखार भी हो रहा है
सुबह से अंख में सूजन है,सुबह से आंख में सूजन है
गले में दर्द और थकान है और पिछले हफ्ते से पैर में दर्द़ है और चाकर भी हो रहा है,गले में दर्द और थकान है और पिछले हफ्ते से पैर में दर्द है और चक्कर भी हो रहा है
गला में तेजऐंठन है,गला में तेज ऐंठन है
पिछले हफ्ते से आंखों मेंझनझनाहट है और नींद णहीं आनाभी हो रहा है,पिछले हफ्ते से आंखों में झनझनाहट है और नींद नहीं आना भी हो रहा है
आँखों में सूजन और भूख नहीं लगना है और मुझे सर्दी और चक्कर है,आंखों में सूजन और भूख नहीं लगना है और मुझे सर्दी और चक्कर है
कभी-कभी गले में तेज दर्द होता है और सुबह से से आंखों में तेज धर्द है,कभी-कभी गले में तेज दर्द होता है और सुबह से से आंखों में तेज दर्द है
बहुत कमज ोरी महसूस हो रहा है,बहुत कमजोरी महसूस हो रहा है
गल्ले में हल्की जलन है,गले में हल्की जलन है
शाम से से घुटनों मेंऐंठन है,शाम से से घुटनों में ऐंठन है
पिछले हफ्ते से कलाइ में कड़ापन है और बुखार भी हो रहा है,पिछले हफ्ते से कलाई में कड़ापन है और बुखार भी हो रहा है
"हां, शिर में कड़ापन है","हां, सिर में कड़ापन है"
कंधों में कड़ापन औड़ जुकाम है,कंधों में कड़ापन और जुकाम है
कल से कान् में खुजली शुरू हो गया,कल से कान में खुजली शुरू हो गया
पेट में कड़ापन है जो गलेतक फैल रहा है,पेट में कड़ापन है जो गले तक फैल रहा है
पेरों में हल्की सूजन है,पैरों में हल्की सूजन है
जब खड़ा होता करता हूं तो उंगलियों में तेज दर्द होता है और जब चलता करता हूं तो गले में ज़लन होता है,जब खड़ा होता करता हूं तो उंगलियों में तेज दर्द होता है और जब चलता करता हूं तो गले में जलन होता है
पिछले हफ्ते से कमर में ऐंठन है ओर सर्दी भी ह रहा है,पिछले हफ्ते से कमर में ऐंठन है और सर्दी भी हो रहा है
गला में सुन्नपन औल खांसी है,गला में सुन्नपन और खांसी है
छाथी में सूजन है जो टखना तक फैल रहा है,छाती में सूजन है जो टखना तक फैल रहा है
खाना खाने के बाद पीठ में तेज दरद होता है और जुकाम के साथ वजन बढ़ना भी है,खाना खाने के बाद पीठ में तेज दर्द होता है और जुकाम के साथ वजन बढ़ना भी है
आंखों में सुन्नपन और वजन बढ़ना है,आंखों में सुन्नपन और वजन बढ़ना है
जब काम करता करताहूं तो घुटना में खुजली होता है,जब काम करता करता हूं तो घुटना में खुजली होता है
पिछले हफ्ते से कमर में जलन है और कमझोरी भी हो रहा है,पिछले हफ्ते से कमर में जलन है और कमजोरी भी हो रहा है
पैरों में सुजन और खांसी है,पैरों में सूजन और खांसी है
गले में जलम है जो छाती तक फैल रहा है,गले में जलन है जो छाती तक फैल रहा है
हात में दर्द और वजन बढ़ना है,हाथ में दर्द और वजन बढ़ना है
छाती में खुजली है जो उंगली तक फैर रहा है और कन में भारीपन और सर्दी है,छाती में खुजली है जो उंगली तक फैल रहा है और कान में भारीपन और सर्दी है
हाथ नें बहुत तेज सुन्नपन है,हाथ में बहुत तेज सुन्नपन है
जब बैठता करता हूं तो कलाई में दर्द होता है,जब बैठता करता हूं तो कलाई में दर्द होता है
पैरों में दर्द हो लहा है,पैरों में दर्द हो रहा है
सिर में बहुत तेज खुजली है और आंखों में तेज दर्द और भूख नहीं लगना है,सिर में बहुत तेज खुजली है और आंखों में तेज दर्द और भूख नहीं लगना है
घुटनों में सूजन है जो कान तग फैल रहा है,घुटनों में सूजन है जो कान तक फैल रहा है
हाथ में तेज कढ़ापन है,हाथ में तेज कड़ापन है
कान में जलन और चक्कर है,कान में जलन और चक्कर है
पिछले हफ्ते से कमर में सूजनहै औरसांस लेने में तकलीफ भी हो रहा है,पिछले हफ्ते से कमर में सूजन है और सांस लेने में तकलीफ भी हो रहा है
गल में बहुत तेज जलन है,गले में बहुत तेज जलन है
जीभ नें भारीपन है जो घुटनों तक फैल रहा है,जीभ में भारीपन है जो घुटनों तक फैल रहा है
कान् में तेज दर्द और दस्त है,कान में तेज दर्द और दस्त है
पीठ में हल्की बेंठन है और दांत में सूजन और सड़्दी है,पीठ में हल्की ऐंठन है और दांत में सूजन और सर्दी है
मुझे हाथ में जलन है और पेट में खुझली है जो गले तक फैल रहा है,मुझे हाथ में जलन है और पेट में खुजली है जो गले तक फैल रहा है
कल से पैरों मेंभारीपन शुरू हो गया,कल से पैरों में भारीपन शुरू हो गया
भूख बिल्कुल नहीं लग रही,भूख बिल्कुल नहीं लग रही
पाइरों में सुन्नपन है जो आंखों तक फैल रहा है,पैरों में सुन्नपन है जो आंखों तक फैल रहा है
पिछले हफ्ते से गला मेंसूजन है और सर्दी भी हो रहा है,पिछले हफ्ते से गला में सूजन है और सर्दी भी हो रहा है
पेट में जलन है जो कलाई तक़ फैल रहा है,पेट में जलन है जो कलाई तक फैल रहा है
मेरे उंगली में बहुत झणझनाहट है,मेरे उंगली में बहुत झनझनाहट है
पिछले हफ्ते से पेट में सुन्नपन है और भूख नहीं ळगना भी हो रहा है,पिछले हफ्ते से पेट में सुन्नपन है और भूख नहीं लगना भी हो रहा है
जब कामकरता करता हूं तो गलामें झनझनाहटहोता है,जब काम करता करता हूं तो गला में झनझनाहट होता है
आंख में ऐंठन है जो पीड तक फैल रहा है,आंख में ऐंठन है जो पीठ तक फैल रहा है
मेरे छाती में बहुत दरद है,मेरे छाती में बहुत दर्द है
बुखार गे साथ उल्टी भी है,बुखार के साथ उल्टी भी है
आंख में भारीपन और वजन कम होना है और सुबह से हात में खुजली है,आंख में भारीपन और वजन कम होना है और सुबह से हाथ में खुजली है
गर्दन में हल्की ऐंठान है,गर्दन में हल्की ऐंठन है
खाना गाणे के बाद कलाई में सुन्नपन होता है और जीभ में सूजन और पसीना आन है,खाना खाने के बाद कलाई में सुन्नपन होता है और जीभ में सूजन और पसीना आना है
उंगली में बहुत तेज सूज़न है,उंगली में बहुत तेज सूजन है
घबराहट के साथ सांस लेने मेंतकलीफ भीहै और चक्कर के साथ बुखार भी है,घबराहट के साथ सांस लेने में तकलीफ भी है और चक्कर के साथ बुखार भी है
कंधों में जल्लन है जो पैर तक फैल रहा है और पिछले हफ्ते से गर्दन में खुजली है और सर्दी भी हो रहा है,कंधों में जलन है जो पैर तक फैल रहा है और पिछले हफ्ते से गर्दन में खुजली है और सर्दी भी हो रहा है
सुबह से से गर्दन में ज़लन है,सुबह से से गर्दन में जलन है
हाठों में झनझनाहट है,हाथों में झनझनाहट है
सुबह से से शिर में ज़लन है,सुबह से से सिर में जलन है
गाले सख्त लग रहा है और पिछले हफ्ते से गर्दन में कड़ापन है और चक्कर भी हो रहा है,गले सख्त लग रहा है और पिछले हफ्ते से गर्दन में कड़ापन है और चक्कर भी हो रहा है
परसों से से घुटनों में भारीपन है और छाती में तेज अंठन है,परसों से से घुटनों में भारीपन है और छाती में तेज ऐंठन है
खाना खाने के बाद पैरों में सूजन होता है और उंगली में तेज डर्ड है,खाना खाने के बाद पैरों में सूजन होता है और उंगली में तेज दर्द है
पिछले हफ्ते से घुटनों में ऐंठन है और कमजोरी भी हो रहा है,पिछले हफ्ते से घुटनों में ऐंठन है और कमजोरी भी हो रहा है
हाथ में जलन और जुकाम है,हाथ में जलन और जुकाम है
पीठ में सूजन और चक्कर है,पीठ में सूजन और चक्कर है
आंखों में कड़ापन और कमजोरी है और पिछले हफ्ते से नाक में कड़ापन है ओर कमजोरी भी हो रहा है,आंखों में कड़ापन और कमजोरी है और पिछले हफ्ते से नाक में कड़ापन है और कमजोरी भी हो रहा है
पिछले हफ्ते से पेट में ऐंठन है औड़ चक्कर भी हो रहा है,पिछले हफ्ते से पेट में ऐंठन है और चक्कर भी हो रहा है
गले सख्त लगरहा है,गले सख्त लग रहा है
परै में बहुततेज सूज़न है,पैर में बहुत तेज सूजन है
एक हफ्ते से शे आंखों में कड़ापन है,एक हफ्ते से से आंखों में कड़ापन है
जीभ में जलन है जो पेट तक पैल रहा है,जीभ में जलन है जो पेट तक फैल रहा है
आंख में बहुत तेज तेज दर्द है,आंख में बहुत तेज तेज दर्द है
पिछले हफ्ते से पीड में झनझनाहट है और बेचैनी भी हो रहा है,पिछले हफ्ते से पीठ में झनझनाहट है और बेचैनी भी हो रहा है
बिछले हफ्ते से कंधा में तेज दर्द है और घबराहट भी हो रहा है और पिछले हफ्ते से कंधों में जलन है और वजन बढ़ना भी हो रहा है,पिछले हफ्ते से कंधा में तेज दर्द है और घबराहट भी हो रहा है और पिछले हफ्ते से कंधों में जलन है और वजन बढ़ना भी हो रहा है
जब चलता करता हूं तो हातों में भारीपन होता है,जब चलता करता हूं तो हाथों में भारीपन होता है
खाना खाने के बाद उंगली में सूजन होता है और उगली में झनझनाहट है जो आंखों तक फैल रहा है,खाना खाने के बाद उंगली में सूजन होता है और उंगली में झनझनाहट है जो आंखों तक फैल रहा है
जब सोता करता हूं तो हाठ में झनझनाहट होता है,जब सोता करता हूं तो हाथ में झनझनाहट होता है
पिछले हफ्ते से कंधों में दर्द है और ऊल्टी भी हो रहा है,पिछले हफ्ते से कंधों में दर्द है और उल्टी भी हो रहा है
कभी -कभी दांत में सूजन होता है,कभी-कभी दांत में सूजन होता है
कमर में हल्की खुजलि है,कमर में हल्की खुजली है
तीन दिन से से नींद नहीं आना है,तीन दिन से से नींद नहीं आना है
पिछले हफ्ते से उंगलियों में भारीपन है और चक्कर बी हो रहा है और कंधं में जलन है जो गर्दन तक फैल रहा है,पिछले हफ्ते से उंगलियों में भारीपन है और चक्कर भी हो रहा है और कंधों में जलन है जो गर्दन तक फैल रहा है
कमर में दर्द और कमजोरहै,कमर में दर्द और कमजोरी है
मेरे आंख में बहुत दर्द है और सुबह से नाक में सुण्नपन है,मेरे आंख में बहुत दर्द है और सुबह से नाक में सुन्नपन है
उंगलियों में भारीपण है जो घुटना तक फैल रहा है,उंगलियों में भारीपन है जो घुटना तक फैल रहा है
झब खाता करता हूं तो टखना में खुजली होता है,जब खाता करता हूं तो टखना में खुजली होता है
खान में सुन्नपन है जो पैरों तक फैल रहा है,कान में सुन्नपन है जो पैरों तक फैल रहा है
जब सीढ़ी चढ़ता करता हूं तो हाथों में झनझनाहट होता है,जब सीढ़ी चढ़ता करता हूं तो हाथों में झनझनाहट होता है
घुटना में खुजली और दस्त है,घुटना में खुजली और दस्त है
जब सीढ़ी चढ़ता करता हूं तो हाथों में झनझनाहट होत है और सुबह से गल में भारीपन है,जब सीढ़ी चढ़ता करता हूं तो हाथों में झनझनाहट होता है और सुबह से गला में भारीपन है
पिछले हफ्ते शे पेट में तेज दर्द है और घबराहट भी हो रहा है,पिछले हफ्ते से पेट में तेज दर्द है और घबराहट भी हो रहा है
कमजोरी के साथ चक्कर भी है,कमजोरी के साथ चक्कर भी है
पिछले हफ्ते से पैर में सुन्नपन हैऔर दस्त भी हो रहा है और जब चलता करता हूं तो जीभ में दर्द होता है,पिछले हफ्ते से पैर में सुन्नपन है और दस्त भी हो रहा है और जब चलता करता हूं तो जीभ में दर्द होता है
पि छले हफ्ते से मसूड़ों में खुजली है और नींदनहीं आना भी हो रहा है,पिछले हफ्ते से मसूड़ों में खुजली है और नींद नहीं आना भी हो रहा है
उंगलियों में झनझनाहट औल नींद नहीं आना है,उंगलियों में झनझनाहट और नींद नहीं आना है
थकान केसाथ वजन कम होना भी है,थकान के साथ वजन कम होना भी है
सुबह से सिर मे सूजन है,सुबह से सिर में सूजन है
जब सीढ़ी चढ़ता करता हूं तो उंगली में डर्ड होता है,जब सीढ़ी चढ़ता करता हूं तो उंगली में दर्द होता है
दांत में जलन औरघबराहट है,दांत में जलन और घबराहट है
सिरमें सुन्नपन औरजुकाम है,सिर में सुन्नपन और जुकाम है
पिछले हफ्ते से कान में खुजली है और थकान भी हो रहा है और पिछलेहफ्ते से कमर में सूजन है और पसीना आना भी हो रहा है,पिछले हफ्ते से कान में खुजली है और थकान भी हो रहा है और पिछले हफ्ते से कमर में सूजन है और पसीना आना भी हो रहा है
जब सीढ़ी चढ़ता करता हूं तो हातों में झनझनाहट होता है और सुबह से गला में भारीपन है,जब सीढ़ी चढ़ता करता हूं तो हाथों में झनझनाहट होता है और सुबह से गला में भारीपन है
पेट में कड़ापम है जो पेट तक फैल रहा है,पेट में कड़ापन है जो पेट तक फैल रहा है
कल से हाथों में भारीपन शुरू हो गया और नाख में ऐंठन है जो छाती तक फैल रहा है,कल से हाथों में भारीपन शुरू हो गया और नाक में ऐंठन है जो छाती तक फैल रहा है
"हां, गले में खुजली है","हां, गले में खुजली है"
कंधों में सूज़नहै झो कमर तक फैल रहा है,कंधों में सूजन है जो कमर तक फैल रहा है
जब काम करता करता हूं तो हाथ में जलन होता है,जब काम करता करता हूं तो हाथ में जलन होता है
खाना खाणेके बाद नाक में तेज दर्द होता है,खाना खाने के बाद नाक में तेज दर्द होता है
एक हफ्ते से से पैर मेंसुन्नपन है,एक हफ्ते से से पैर में सुन्नपन है
जब सोदा करता हूं तो उंगली में सुन्नपन होता है,जब सोता करता हूं तो उंगली में सुन्नपन होता है
आंखों में सुजन है जो मसूड़ों तक फैल रहा है,आंखों में सूजन है जो मसूड़ों तक फैल रहा है
उंगली लाल लगरहा है,उंगली लाल लग रहा है
पिछले हफ्ते से कंधा में तेज दर्दे है और जुकाम भी हो रहा है,पिछले हफ्ते से कंधा में तेज दर्द है और जुकाम भी हो रहा है
पिजले हफ्ते से कंधों में ऐंठन है और वजन बढ़ना भी हो रहा है और पिछले हफ्ते से कमर में सूजन है और उल्टी भी हो रहा है,पिछले हफ्ते से कंधों में ऐंठन है और वजन बढ़ना भी हो रहा है और पिछले हफ्ते से कमर में सूजन है और उल्टी भी हो रहा है
मुझे चक्कर और वजन कम होना है,मुझे चक्कर और वजन कम होना है
मुझे पेट में जलन है,मुझे पेट में जलन है
सि र में हल्की खुजली है,सिर में हल्की खुजली है
नाक में दर्द और उल्टी है और पिछले हफ्ते से नाक में सूजन है और कमजोरी भी हो रहा है,नाक में दर्द और उल्टी है और पिछले हफ्ते से नाक में सूजन है और कमजोरी भी हो रहा है
पिछले हफ्ते से गल में जलन है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से गले में जलन है और भूख नहीं लगना भी हो रहा है
कलाई में कुचली और भूख नहीं लगना है,कलाई में खुजली और भूख नहीं लगना है
कल से परैों में भारीपन शुरू हो गया,कल से पैरों में भारीपन शुरू हो गया
आंखों में झनझनाहट है जो घुटना तक फैल रहा है,आंखों में झनझनाहट है जो घुटना तक फैल रहा है
आखों में तेज खुजली है और सांस लेने में तकलीफ के साथ चक्कर भी है,आंखों में तेज खुजली है और सांस लेने में तकलीफ के साथ चक्कर भी है
"हां, पीट में झनझनाहट है","हां, पीठ में झनझनाहट है"
जब चलता करता हूं तो आँख में भारीपन होता है,जब चलता करता हूं तो आंख में भारीपन होता है
कलाई में झनझनाहट है जो कान तक फैल रहा है और आंखों में दर्द और चक्कर है,कलाई में झनझनाहट है जो कान तक फैल रहा है और आंखों में दर्द और चक्कर है
